property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,neighbourhood_cleansed,price,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,zc_lat,zc_lon,num_amenities,air conditioning,cat(s),dog(s),dryer,heating,internet,kitchen,microwave,outdoor parking,private bathroom,self check-in,tv,washer,wifi
12,2,2,1,1,1,4,1,95,50,1,25,39,97.0,37.74873,-122.41545,36,0,0,0,1,1,1,1,1,0,0,1,0,1,1
8,0,2,1,1,1,4,12,160,85,1,0,145,97.0,37.74873,-122.41545,25,0,0,0,0,1,0,1,1,0,0,1,1,0,1
12,3,1,2,1,1,4,12,55,0,1,0,210,96.0,37.74873,-122.41545,35,0,0,1,1,1,1,1,1,0,0,1,0,1,1
12,3,1,2,1,1,4,12,55,0,1,0,221,96.0,37.74873,-122.41545,34,0,0,1,1,1,1,1,1,0,0,1,0,1,1
12,3,1,2,1,1,4,12,55,0,1,0,206,95.0,37.74873,-122.41545,34,0,0,1,1,1,1,1,1,0,0,1,0,1,1
10,3,1,2,1,1,4,12,33,0,1,0,134,97.0,37.74873,-122.41545,25,1,0,1,1,1,1,1,0,0,0,1,0,1,1
1,0,2,1,1,1,0,1,120,75,1,50,34,99.0,37.74873,-122.41545,17,0,0,0,1,1,1,1,0,0,0,0,0,0,1
17,2,3,1,1,2,4,12,144,49,2,50,274,98.0,37.74873,-122.41545,31,0,1,0,1,1,1,1,0,0,0,1,0,1,1
1,2,4,1,1,1,4,12,95,65,4,50,106,95.0,37.74873,-122.41545,33,0,0,0,1,1,1,1,1,0,0,1,1,1,1
17,2,2,1,1,1,4,1,75,71,2,52,278,96.0,37.74873,-122.41545,43,0,0,0,1,1,1,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,12,125,30,2,25,217,100.0,37.74873,-122.41545,22,0,0,0,0,1,1,0,0,0,0,0,1,0,1
