property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,neighbourhood_cleansed,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,zc_lat,zc_lon,rental,num_amenities,air conditioning,cat(s),dog(s),dryer,heating,internet,kitchen,microwave,outdoor parking,private bathroom,self check-in,tv,washer,wifi
1,2,3,1,1,2,4,12,70,2,35,118,98.0,37.74873,-122.41545,5850.0,21,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1,2,1,1,1,1,4,12,80,1,0,19,95.0,37.74873,-122.41545,5850.0,24,0,0,0,1,1,0,1,0,0,0,0,1,1,1
1,2,2,1,1,1,4,12,30,1,15,85,100.0,37.74873,-122.41545,5850.0,35,0,0,0,1,1,0,1,0,0,0,1,1,1,1
13,0,2,1,1,1,4,12,80,1,0,225,99.0,37.74873,-122.41545,5850.0,32,0,0,1,1,1,1,1,1,0,0,0,0,1,1
1,2,2,1,1,1,4,1,40,1,0,103,96.0,37.74873,-122.41545,5850.0,25,0,0,0,0,1,1,1,1,0,0,0,0,0,1
1,0,3,1,1,1,4,1,299,2,25,24,88.0,37.74873,-122.41545,5850.0,41,0,0,0,1,1,1,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,1,70,2,20,185,97.0,37.74873,-122.41545,5850.0,54,0,0,0,1,1,0,0,1,0,0,1,1,1,1
17,0,3,1,1,1,4,12,100,2,39,23,84.0,37.74873,-122.41545,5850.0,19,0,1,0,1,1,1,1,0,0,0,1,0,1,1
8,0,2,1,1,1,4,12,60,1,20,146,89.0,37.74873,-122.41545,5850.0,27,0,0,0,1,1,0,1,1,0,0,1,0,1,1
1,2,2,1,1,1,2,12,0,1,20,130,98.0,37.74873,-122.41545,5850.0,31,0,1,0,1,1,0,1,1,0,0,1,0,1,1
1,0,3,1,1,1,4,1,75,2,20,123,98.0,37.74873,-122.41545,5850.0,17,0,0,0,0,1,0,1,1,0,0,1,1,0,1
12,2,2,1,1,1,4,1,30,1,0,407,98.0,37.74873,-122.41545,5850.0,30,0,1,0,1,1,1,1,0,0,0,0,1,1,1
8,0,2,1,1,1,4,1,45,1,0,169,92.0,37.74873,-122.41545,5850.0,15,0,0,0,0,0,1,1,0,0,0,0,1,0,1
6,2,1,1,1,1,4,12,65,1,0,111,98.0,37.74873,-122.41545,5850.0,33,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,0,2,2,1,1,4,1,100,1,0,8,100.0,37.74873,-122.41545,5850.0,17,0,0,0,1,1,1,1,0,0,0,1,1,1,1
8,0,2,1,1,1,4,1,60,1,0,258,96.0,37.74873,-122.41545,5850.0,35,0,0,0,1,1,0,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,12,50,2,15,77,97.0,37.74873,-122.41545,5850.0,29,0,0,0,0,1,1,1,1,0,0,1,1,0,1
12,2,2,1,1,1,4,1,75,2,300,404,98.0,37.74873,-122.41545,5850.0,33,0,0,0,1,1,1,1,1,0,0,1,1,1,1
1,2,2,1,1,1,4,12,40,1,0,152,99.0,37.74873,-122.41545,5850.0,38,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,2,1,1,1,1,4,12,40,1,30,62,98.0,37.74873,-122.41545,5850.0,21,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1,0,2,1,1,1,4,12,80,1,0,17,99.0,37.74873,-122.41545,5850.0,18,0,0,0,1,1,1,1,0,0,0,0,1,1,1
17,0,2,2,1,1,4,12,125,2,75,36,96.0,37.74873,-122.41545,5850.0,37,0,0,1,1,1,1,1,0,0,0,1,1,1,1
1,0,1,1,1,1,4,1,100,2,25,5,100.0,37.74873,-122.41545,5850.0,25,0,0,0,1,1,0,1,0,0,0,1,1,1,1
12,2,1,1,1,1,4,12,75,1,0,28,99.0,37.74873,-122.41545,5850.0,24,0,0,1,1,1,1,1,0,0,0,0,1,1,1
12,2,2,1,1,1,4,12,50,1,0,187,100.0,37.74873,-122.41545,5850.0,32,1,1,0,1,1,1,1,1,0,0,0,0,1,1
6,2,2,1,1,1,4,12,95,1,10,81,98.0,37.74873,-122.41545,5850.0,55,0,0,0,1,1,0,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,1,40,1,25,263,96.0,37.74873,-122.41545,5850.0,34,0,0,0,0,1,1,1,1,0,0,1,0,0,1
8,0,2,1,1,1,4,1,45,1,0,163,99.0,37.74873,-122.41545,5850.0,35,0,1,1,0,1,0,1,1,0,0,1,1,0,1
1,0,2,1,1,2,4,12,125,1,0,39,93.0,37.74873,-122.41545,5850.0,25,1,0,0,1,1,1,1,0,0,0,0,1,1,1
1,2,2,1,1,1,4,12,50,1,20,132,98.0,37.74873,-122.41545,5850.0,30,0,0,0,1,1,1,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,1,50,1,20,164,96.0,37.74873,-122.41545,5850.0,33,0,0,0,0,1,1,1,0,0,0,1,0,0,1
1,2,2,1,1,2,4,12,0,1,20,138,98.0,37.74873,-122.41545,5850.0,30,0,1,0,1,1,0,1,1,0,0,1,0,1,1
