"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
"89123","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699,1600,1600,1600,1650,1650,1675,1650,1750,1675,1700,1697.5,1700,1700,1700,1695,1749,1685,1850,1850,1782.5,1812.5,1795,1760,1747.5,1775,1850,1930,1850,1800,1990,1990,2050,2000
"89148","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",72,,,,,,,,,,,,,1495,1495,1495,1450,1445,1495,1400,1395,1397.5,1395,1350,1350,1350,1350,1392.5,1495,1500,1475,1475,1450,1472.5,1450,1395,1400,1400,1450,1450,1450,1500,1545,1450,1500,1500,1450,1450,1462.5,1495,1450,1450,1499,1450,1400,1500,1595,1495,1500,1535,1500,1595,1595,1550,1495,1550,1550,1500,1450,1497,1495,1595,1500,1575,1632.5,1625,1650,1650,1600,1650,1695,1650,1650,1650,1650,1650,1662.5,1695,1695,1707.5,1795,1800,1750,1697.5,1712.5,1700,1800,1767.5,1795,1800,1850,1795,1825,1825,1800,1797.5,1850
"78254","San Antonio","TX","San Antonio-New Braunfels","Bexar County",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.5,1650,1695,1650,1650,1612.5,1597.5,1650,1725,1650,1600,1575,1622.5,1595,1600,1650,1695,1650,1650,1625,1672.5,1697.5,1825,1700,1700,1637.5,1597.5,1672.5,1695,1697.5,1750,1695,1700,1700
"33467","Greenacres","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2500,2522.5,2625,2600,2500,2470,2500,2500,2500,2500,2500,2514.5,2585,2600,2509.5,2575
"75070","McKinney","TX","Dallas-Fort Worth-Arlington","Collin County",75,,,,,1600,1595,1672.5,1650,1750,1672.5,1600,1650,1650,1750,1695,1825,1725,1600,1750,1797,1699.5,1750,1750,1772.5,1850,1795,1750,1750,1795,1750,1772.5,1795,1800,1750,1750,1700,1725,1750,1750,1795,1850,1800,1800,1800,1800,1795,1800,1800,1812.5,1800,1845,1800,1895,1900,1895,1857.5,1895,1885,1850,1895,1825,1800,1800,1895,1897.5,1950,1962.5,1931,1995,1950,1945,1950,1895,1895,1975,1950,1955,1900,1897.5,1975,1968.5,1900,1895,1900,1900,1900,1895,2000,2095,2147.5,2000,1995,1995,2003,2197.5,2200,2100,2100,2150,2100,2150,2150,2150,2100,1995,1995
"75002","Allen","TX","Dallas-Fort Worth-Arlington","Collin County",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,1900,1962.5,1995,2000,2011.5,2000,2000,2000,1962.5,1950,1960,1950,1950,2000,2062.5,1995,1995,1995,2022.5,2015,1997.5,1995,2075,2062.5,2050,2045,2050,2050,2000,2100,2100,2060,1995
"77346","Atascocita","TX","Houston-The Woodlands-Sugar Land","Harris County",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1700,1675,1612.5,1675,1650,1700,1762.5,1672.5,1600,1675,1650,1687.5,1729,1779,1785,1750,1750,1750,1747.5,1825,1787,1787,1750,1750,1775,1900,2000,1850,1749,1712.5,1700,1750,1700,1700,1597.5,1799,1799,1759,1799,1840,1800,1795,1795,1750,1735,1750,1750,1795,1775,1850,1940,1900,1875,1850,1850,1750,1675,1650,1730,1725,1800,1845,1800,1812.5,1850,1800,1795,1770,1742.5
"33157","Village of Palmetto Bay","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,2750.5,2969,3000,2550,2750,3095,3195,3000,3075,3250,3000,2970,3000,2650,3050,3000,2895,3000,2665,2750,2800,2825,3050,3150,3000,3200,3000,2995,2650
"94513","Brentwood","CA","San Francisco-Oakland-Hayward","Contra Costa County",79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2425,2495,2500,2497.5,2450,2400,2400,2375,2400,2400,2437.5,2550,2695,2600,2600,2647.5,2695,2650,2580,2600,2500,2500,2590,2795,2750,2750,2777,2700,2600,2700,2700,2697.5,2700,2786,2715,2850,2850,2800,2800,2825,2900,2800
"77375","Tomball","TX","Houston-The Woodlands-Sugar Land","Harris County",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1662.5,1675,1675,1800,1950,1997.5,1850,1850,1800,1850,1800,1837.5,1850,1880,1975,2000,1997.5,1972.5,2100,1900,1900,1845,1795,1775,1850,1850,1895,1895,2019.5,1947.5,1925,1900,1900,1800
